net,sta,lat,long,elev
YN,LUQ,25.5408,102.4497,1777.0
YN,MAL,25.4273,103.5752,2031.0
YN,GEJ,23.3535,103.1596,1771.0
YN,EYA,26.1088,99.9475,2063.0
YN,CAY,23.1364,99.2585,1262.0
YN,YUX,24.4348,100.1475,1164.0
YN,ZHY,23.9988,101.1068,1186.0
YN,QIJ,26.9095,102.9434,1103.0
YN,SIM,22.7756,101.014,1401.0
YN,WAD,24.0851,98.0709,838.0
YN,DAY,25.7268,101.3164,1877.0
YN,LIJ,26.8956,100.2322,2428.0
YN,YUM,25.6894,101.8607,1086.0
YN,CUX,25.0293,101.5356,1822.0
YN,GOS,27.7449,98.6707,1470.0
YN,KMI,25.1483,102.7475,1940.0
YN,YOS,26.6941,100.7683,2190.0
YN,LAC,22.5557,99.9206,1022.2
YN,HEQ,26.549,100.1515,2215.0
YN,JIG,23.5019,100.7351,1031.0
YN,TUS,25.6093,100.254,1955.0
YN,TNC,25.0289,98.5198,1630.0
YN,XUW,26.0881,104.1357,2076.0
YN,MLA,21.4259,101.5276,649.0
YN,YAJ,28.0603,104.2564,529.7
YN,DOC,26.087,103.1871,1265.0
YN,ZAT,27.4517,103.655,1929.0
YN,YUJ,23.5659,101.978,511.0
YN,LIC,23.8795,100.1688,2376.7
YN,ZOD,27.8232,99.6984,3306.0
YN,HLT,25.1483,102.7475,1940.0
YN,YOD,24.0357,99.2454,1680.0
YN,JIH,22.0194,100.7382,585.0
YN,BAS,25.118,99.1466,1722.0
GE,KBS,78.9154,11.9385,90.0
GE,SFJD,66.9961,-50.62076,330.0
GE,ACRG,5.641485,-0.207117,75.0
GE,APE,37.07274,25.52301,608.0
GE,ARPR,39.09289,38.33557,1537.0
GE,BALJ,32.0873,35.64,375.0
GE,BOAB,12.4493,-85.6659,381.0
GE,CSS,34.9611,33.331,396.0
GE,DAG,76.7713,-18.655,23.0
GE,EIL,29.6699,34.9512,210.0
GE,FALKS,51.6819,11.2655,335.0
GE,FLT1,52.3306,11.2372,100.0
GE,GHAJ,31.30341,35.56648,-58.0
GE,GVD,34.83914,24.08738,170.0
GE,HLG,54.183092,7.883014,37.0
GE,IBBN,52.3063,7.7592,140.0
GE,IMMV,35.4606,23.9811,230.0
GE,ISP,37.8433,30.5093,1100.0
GE,KARP,35.5471,27.16106,524.0
GE,KTHA,36.2566,23.0621,360.0
GE,KBU,34.5151,69.1347,1820.0
GE,KERA,35.3692,23.5577,240.0
GE,MATE,40.64907,16.70442,494.0
GE,MORC,49.7766,17.5428,740.0
GE,MSBI,31.3126,35.358,-220.0
GE,MTE,40.3997,-7.5442,815.0
GE,NPW,19.7785,96.1376,158.0
GE,PABE,55.50523,23.96796,58.0
GE,PBUR,56.02361,21.92945,126.0
GE,PUL,59.767,30.317,65.0
GE,RGN,54.5477,13.3214,15.0
